,CouncilDistrictCode,DataYear,ENERGYSTARScore,Electricity(kBtu),Electricity(kWh),GHGEmissionsIntensity,LargestPropertyUseTypeGFA,Latitude,Longitude,NaturalGas(kBtu),NaturalGas(therms),NumberofBuildings,NumberofFloors,OSEBuildingID,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,YearBuilt,ZipCode
3251,3.0,2016.0,95.0,1759518.0,515685.0938,0.53,82627.0,47.61272,-122.31761000000002,999554.0,9995.537109,1.0,6.0,49902.0,91159.0,31916.0,123075.0,33.40000153,33.90000153,2759071.5,2799192.5,79.59999847,80.09999847,,65.35,2014.0,98122.0
3252,2.0,2016.0,,4967236.0,1455813.5,0.72,149856.0,47.54193,-122.32404,1368079.0,13680.79004,4.0,2.0,49909.0,149856.0,,149856.0,42.29999924,45.09999847,6335315.5,6759240.5,113.6999969,118.6999969,,107.29,2007.0,98108.0
3253,1.0,2016.0,,953635.0,279494.4063,0.86,44162.0,47.51377011,-122.3432804,592850.0,5928.5,1.0,2.0,49911.0,44162.0,,44162.0,35.0,38.0,1546484.875,1679541.25,81.90000153,87.09999847,,38.13,2010.0,98146.0
3254,2.0,2016.0,,4007401.0,1174502.125,8.51,35361.0,47.52472,-122.27073999999999,8088416.0,80884.15625,1.0,1.0,49918.0,53775.0,,53775.0,224.89999390000003,231.39999390000003,12095818.0,12442613.0,391.89999389999997,398.7000122,,457.51,2013.0,98118.0
3255,2.0,2016.0,93.0,781034.0,228907.9063,0.52,36297.0,47.578829999999996,-122.31105,337456.0,3374.559814,1.0,6.0,49919.0,45167.0,,45167.0,29.29999924,29.70000076,1118490.0,1134086.5,73.59999847,74.90000153,,23.37,2014.0,98144.0
3256,7.0,2016.0,47.0,8969953.0,2628942.75,0.51,257347.0,47.60967,-122.32977,2992662.0,29926.617189999997,1.0,32.0,49920.0,434839.0,,434839.0,46.5,47.29999924,11962615.0,12176139.0,121.6999969,122.5,,221.47,2014.0,98101.0
3257,7.0,2016.0,84.0,3946056.0,1156522.875,0.65,132698.0,47.61834,-122.34832,1941045.0,19410.44922,1.0,13.0,49921.0,201839.0,,201839.0,44.40000153,44.40000153,5887101.5,5887101.5,108.6999969,108.6999969,,130.6,2014.0,98121.0
3258,7.0,2016.0,100.0,1803027.0,528437.0,0.46,110728.0,47.63664,-122.35655,1787704.0,17877.03906,1.0,5.0,49923.0,233528.0,,233528.0,23.29999924,23.89999962,3590731.0,3679287.25,49.0,49.59999847,,107.51,2014.0,98109.0
3259,3.0,2016.0,,1980767.0,580529.6875,0.45,37668.0,47.61438,-122.32173999999999,293529.0,2935.290039,,2.0,49924.0,64820.0,,64820.0,38.40000153,39.40000153,2274296.75,2332889.25,110.3000031,111.40000149999999,,29.4,1912.0,98122.0
3260,3.0,2016.0,,2055974.0,602571.5,0.74,99765.0,47.61699,-122.32083,1129031.0,11290.31055,1.0,2.0,49925.0,99765.0,,99765.0,31.89999962,33.79999924,3185005.25,3372443.75,76.59999847,78.59999847,,74.3,1993.0,98122.0
